id_queen,nome,colocacao,episodio,wins,highs,safe,low,bttm,elim,cidade,num_conf
5,Ongina,5,6,2,2,0,0,0,1,NULL,NULL
5,Ongina,5,7,2,2,0,0,0,1,NULL,NULL
5,Ongina,5,8,2,2,0,0,0,1,NULL,NULL
5,Ongina,5,9,2,2,0,0,0,1,NULL,NULL
5,Ongina,5,10,2,2,0,0,0,1,NULL,NULL
5,Ongina,5,11,2,2,0,0,0,1,NULL,NULL
5,Ongina,5,12,2,2,0,0,0,1,NULL,NULL
5,Ongina,5,13,2,2,0,0,0,1,NULL,NULL
5,Ongina,5,14,2,2,0,0,0,1,NULL,NULL
5,Ongina,5,15,2,2,0,0,0,1,NULL,NULL
6,"Jade Sotomayor",6,1,0,0,1,0,0,0,NULL,NULL
6,"Jade Sotomayor",6,2,0,0,2,0,0,0,NULL,NULL
6,"Jade Sotomayor",6,3,0,0,2,1,0,0,NULL,NULL
6,"Jade Sotomayor",6,4,0,0,2,1,0,1,NULL,NULL
6,"Jade Sotomayor",6,5,0,0,2,1,0,1,NULL,NULL
6,"Jade Sotomayor",6,6,0,0,2,1,0,1,NULL,NULL
6,"Jade Sotomayor",6,7,0,0,2,1,0,1,NULL,NULL
6,"Jade Sotomayor",6,8,0,0,2,1,0,1,NULL,NULL
6,"Jade Sotomayor",6,9,0,0,2,1,0,1,NULL,NULL
6,"Jade Sotomayor",6,10,0,0,2,1,0,1,NULL,NULL
6,"Jade Sotomayor",6,11,0,0,2,1,0,1,NULL,NULL
6,"Jade Sotomayor",6,12,0,0,2,1,0,1,NULL,NULL
6,"Jade Sotomayor",6,13,0,0,2,1,0,1,NULL,NULL
6,"Jade Sotomayor",6,14,0,0,2,1,0,1,NULL,NULL
6,"Jade Sotomayor",6,15,0,0,2,1,0,1,NULL,NULL
7,Akashia,7,1,0,0,0,0,1,0,NULL,NULL
7,Akashia,7,2,0,0,0,0,2,0,NULL,NULL
7,Akashia,7,3,0,0,0,0,2,1,NULL,NULL
7,Akashia,7,4,0,0,0,0,2,1,NULL,NULL
7,Akashia,7,5,0,0,0,0,2,1,NULL,NULL
7,Akashia,7,6,0,0,0,0,2,1,NULL,NULL
7,Akashia,7,7,0,0,0,0,2,1,NULL,NULL
7,Akashia,7,8,0,0,0,0,2,1,NULL,NULL
7,Akashia,7,9,0,0,0,0,2,1,NULL,NULL
7,Akashia,7,10,0,0,0,0,2,1,NULL,NULL
7,Akashia,7,11,0,0,0,0,2,1,NULL,NULL
7,Akashia,7,12,0,0,0,0,2,1,NULL,NULL
7,Akashia,7,13,0,0,0,0,2,1,NULL,NULL
7,Akashia,7,14,0,0,0,0,2,1,NULL,NULL
7,Akashia,7,15,0,0,0,0,2,1,NULL,NULL
8,"Tammie Brown",8,1,0,0,1,0,0,0,NULL,NULL
8,"Tammie Brown",8,2,0,0,1,0,0,1,NULL,NULL
8,"Tammie Brown",8,3,0,0,1,0,0,1,NULL,NULL
8,"Tammie Brown",8,4,0,0,1,0,0,1,NULL,NULL
8,"Tammie Brown",8,5,0,0,1,0,0,1,NULL,NULL
8,"Tammie Brown",8,6,0,0,1,0,0,1,NULL,NULL
8,"Tammie Brown",8,7,0,0,1,0,0,1,NULL,NULL
8,"Tammie Brown",8,8,0,0,1,0,0,1,NULL,NULL
